num,PET,variation,category,orig_text,clean_text,char_count,word_count,edited_text,label
368,hacet görmek,hacetini görene,bodily functions,Bir de tabii umumi  tuvaletlerde yandaki bölmede hacetini görene teşaşür sesi gitmesin için teharet musluklarının şar  şar açılıp öylecene bırakılıp gitmesinden filan .,bir de tabii umumi  tuvaletlerde yandaki bölmede hacetini görene teşaşür sesi gitmesin için teharet musluklarınınar ar açılıpylecene bırakılıp gitmesinden filan,160,20,Bir de tabii umumi  tuvaletlerde yandaki bölmede [PET_BOUNDARY]hacetini görene[PET_BOUNDARY] teşaşür sesi gitmesin için teharet musluklarının şar  şar açılıp öylecene bırakılıp gitmesinden filan.,1
369,hacet görmek,hacetini görürken,bodily functions,Öğrenci hacetini görürken yanında ... Lüks spor bir otomobili  olan adamımız İstanbul'a bir arkadaşını ziyarete gider .,öğrenci hacetini görürken yanında lüks spor bir otomobili  olan adamımız i̇stanbul'a bir arkadaşını ziyarete gider,114,15,Öğrenci [PET_BOUNDARY]hacetini görürken[PET_BOUNDARY] yanında... Lüks spor bir otomobili  olan adamımız İstanbul'a bir arkadaşını ziyarete gider.,0
370,hakkın rahmetine kavuşmak,hakk'ın rahmetine kavuşmasından,death,Başbuğumuz Alparslan Türkeş'in  Cenab - ı Hakk'ın rahmetine kavuşmasından sonra liderine terbiyesiz ve edepsiz yaklaşan  bazı ayrık otları çıkmışsa da bu kutsal çatı altında fazla barınamadan ayıklanmış  ve dışlanmışlardır .,başbuğumuz alparslan türkeş'in  cenab hakk'ın rahmetine kavuşmasından sonra liderine terbiyesiz ve edepsiz yaklaşan  bazı ayrık otlarıkmışsa da bu kutsalatı altında fazla barınamadan ayıklanmış  ve dışlanmışlardır,213,25,Başbuğumuz Alparslan Türkeş'in  Cenab - ı [PET_BOUNDARY]Hakk'ın rahmetine kavuşmasından[PET_BOUNDARY] sonra liderine terbiyesiz ve edepsiz yaklaşan  bazı ayrık otları çıkmışsa da bu kutsal çatı altında fazla barınamadan ayıklanmış  ve dışlanmışlardır.,1
371,hakkın rahmetine kavuşmak,hakk'ın rahmetine kavuştu,death,"""Cemil  Meriç , sevabı ve günahıyla Hakk'ın rahmetine kavuştu .""","""cemil  meriç sevabı ve günahıyla hakk'ın rahmetine kavuştu",59,8,"""Cemil  Meriç, sevabı ve günahıyla [PET_BOUNDARY]Hakk'ın rahmetine kavuştu[PET_BOUNDARY].""",1
372,hakkın rahmetine kavuşmak,hakk'ın rahmetine kavuştu,death,Yani  Latif ağabeyim güzel bir hayat yaşadı ve öyle de Hakk'ın rahmetine kavuştu  .,yani  latif ağabeyim güzel bir hayat yaşadı veyle de hakk'ın rahmetine kavuştu,79,12,Yani  Latif ağabeyim güzel bir hayat yaşadı ve öyle de [PET_BOUNDARY]Hakk'ın rahmetine kavuştu[PET_BOUNDARY] .,1
373,hakkın rahmetine kavuşmak,hakk'ın rahmetine kavuşmuş,death,"""Heyetin başkanı , şimdi Hakk'ın rahmetine kavuşmuş olan Yusuf  Serveroğlu Bey'dir .""","""heyetin başkanıimdi hakk'ın rahmetine kavuşmuş olan yusuf  serveroğlu bey'dir",78,9,"""Heyetin başkanı, şimdi [PET_BOUNDARY]Hakk'ın rahmetine kavuşmuş[PET_BOUNDARY] olan Yusuf  Serveroğlu Bey'dir.""",1
374,hakkın rahmetine kavuşmak,hakk'ın rahmetine kavuşur,death,"""Belletmenlerden Yâsin  suya atlar , çocuğu dışarı fırlatır , kendisi Hakk'ın rahmetine kavuşur .""","""belletmenlerden yâsin  suya atlarocuğu dışarı fırlatır kendisi hakk'ın rahmetine kavuşur",89,10,"""Belletmenlerden Yâsin  suya atlar, çocuğu dışarı fırlatır, kendisi [PET_BOUNDARY]Hakk'ın rahmetine kavuşur[PET_BOUNDARY].""",1
375,hakkın rahmetine kavuşmak,hakk'ın rahmetine kavuştuğunda,death,Bunları en iyi Sayın Ergün Göze ağabeyimizin bilmesi lazım ;  zira Peyami Safa Hakk'ın rahmetine kavuştuğunda avukatı idi .,bunları en iyi sayın ergün göze ağabeyimizin bilmesi lazım  zira peyami safa hakk'ın rahmetine kavuştuğunda avukatı idi,119,17,Bunları en iyi Sayın Ergün Göze ağabeyimizin bilmesi lazım;  zira Peyami Safa [PET_BOUNDARY]Hakk'ın rahmetine kavuştuğunda[PET_BOUNDARY] avukatı idi.,1
376,hakkın rahmetine kavuşmak,hakk'ın rahmetine kavuşmuş,death,"""İmza , Serdengeçti  ... Merhum Dr. İbrahim Sadullah Nutku'yu , güzellikleri aksettiren bir ayna olarak  , yine kendisi gibi Hakk'ın rahmetine kavuşmuş O. Y. Serdengeçti'nin bir yazısı  ile takdim etmek istedim .""","""i̇mza serdengeçti  merhum dr. i̇brahim sadullah nutku'yu güzellikleri aksettiren bir ayna olarak  yine kendisi gibi hakk'ın rahmetine kavuşmuş o. y. serdengeçti'nin bir yazısı  ile takdim etmek istedim",202,27,"""İmza, Serdengeçti ... Merhum Dr. İbrahim Sadullah Nutku'yu, güzellikleri aksettiren bir ayna olarak , yine kendisi gibi [PET_BOUNDARY]Hakk'ın rahmetine kavuşmuş[PET_BOUNDARY] O. Y. Serdengeçti'nin bir yazısı  ile takdim etmek istedim.""",1
377,hakkın rahmetine kavuşmak,hakk'ın rahmetine kavuştu,death,Dr. Sadullah Ağabey'imiz 1972 Ağustos'unun sonlarında bir trafik  kazası ile Cenab - ı Hakk'ın rahmetine kavuştu .,dr. sadullah ağabey'imiz  ağustos'unun sonlarında bir trafik  kazası ile cenab hakk'ın rahmetine kavuştu,104,13,Dr. Sadullah Ağabey'imiz 1972 Ağustos'unun sonlarında bir trafik  kazası ile Cenab - ı [PET_BOUNDARY]Hakk'ın rahmetine kavuştu[PET_BOUNDARY].,1
378,hakkın rahmetine kavuşmak,hakk'ın rahmetine kavuşmuştu,death,Mustafa Sabri ise 1952 yılında Hakk'ın rahmetine kavuşmuştu .,mustafa sabri ise  yılında hakk'ın rahmetine kavuşmuştu,55,7,Mustafa Sabri ise 1952 yılında [PET_BOUNDARY]Hakk'ın rahmetine kavuşmuştu[PET_BOUNDARY].,1
379,hakkın rahmetine kavuşmak,hakk'ın rahmetine kavuşmuş,death,"""Bu konuda Rumları anlamak ne kadar kolaysa , Rumların  silahıyla yıllarca önce Hakk'ın rahmetine kavuşmuş devlet adamımızı tehdit etmeyi anlamak da  o kadar zordur .""","""bu konuda rumları anlamak ne kadar kolaysa rumların  silahıyla yıllarcance hakk'ın rahmetine kavuşmuş devlet adamımızı tehdit etmeyi anlamak da  o kadar zordur",160,22,"""Bu konuda Rumları anlamak ne kadar kolaysa, Rumların  silahıyla yıllarca önce [PET_BOUNDARY]Hakk'ın rahmetine kavuşmuş[PET_BOUNDARY] devlet adamımızı tehdit etmeyi anlamak da  o kadar zordur.""",1
380,hakkın rahmetine kavuşmak,hakk'ın rahmetine kavuştu,death,"""Yaşamını Hamdım , piştim , yandım sözleri ile özetleyen Mevlâna 17  Aralık 1273 pazar günü Hakk'ın rahmetine kavuştu .""","""yaşamını hamdım piştim yandım sözleri ilezetleyen mevlâna   aralık  pazar günü hakk'ın rahmetine kavuştu",105,13,"""Yaşamını Hamdım, piştim, yandım sözleri ile özetleyen Mevlâna 17  Aralık 1273 pazar günü [PET_BOUNDARY]Hakk'ın rahmetine kavuştu[PET_BOUNDARY].""",1
381,hakkın rahmetine kavuşmak,hakkın rahmetine kavuştuğunu,death,"Mehmet Görmez, Kocatepe Kültür Merkezi’nde düzenlenen vekalet yoluyla kurban kesim etkinliğinde yaptığı konuşmada bu yıl yurtiçinden 61 bin 436, yurtdışından ise 7 bin 749 kişinin hac yapacağına belirterek kutsal topraklara gidişlerin üçte iki oranında tamamlandığını bildirdi. Adayların 3 bin 844 görevlinin nezaretinde hac yapacaklarını aktaran Görmez, şu ana kadar gidenler arasında kutsal topraklarda 9 Türk hacı adayının hakkın rahmetine kavuştuğunu belirtti.","mehmet görmez, kocatepe kültür merkezi’nde düzenlenen vekalet yoluyla kurban kesim etkinliğinde yaptığı konuşmada bu yıl yurtiçinden 61 bin 436, yurtdışından ise 7 bin 749 kişinin hac yapacağına belirterek kutsal topraklara gidişlerin üçte iki oranında tamamlandığını bildirdi. adayların 3 bin 844 görevlinin nezaretinde hac yapacaklarını aktaran görmez, şu ana kadar gidenler arasında kutsal topraklarda 9 türk hacı adayının hakkın rahmetine kavuştuğunu belirtti.",464,61,"Mehmet Görmez, Kocatepe Kültür Merkezi’nde düzenlenen vekalet yoluyla kurban kesim etkinliğinde yaptığı konuşmada bu yıl yurtiçinden 61 bin 436, yurtdışından ise 7 bin 749 kişinin hac yapacağına belirterek kutsal topraklara gidişlerin üçte iki oranında tamamlandığını bildirdi. Adayların 3 bin 844 görevlinin nezaretinde hac yapacaklarını aktaran Görmez, şu ana kadar gidenler arasında kutsal topraklarda 9 Türk hacı adayının [PET_BOUNDARY]hakkın rahmetine kavuştuğunu[PET_BOUNDARY] belirtti.",1
382,hakkın rahmetine kavuşmak,hakkın rahmetine kavuşacam,death,Heralde artık kalbim dayanmayacak ve dizinin sonunu  göremeden hakkın rahmetine kavuşacam .,heralde artık kalbim dayanmayacak ve dizinin sonunu  göremeden hakkın rahmetine kavuşacam,89,11,Heralde artık kalbim dayanmayacak ve dizinin sonunu  göremeden [PET_BOUNDARY]hakkın rahmetine kavuşacam[PET_BOUNDARY].,1
383,hakkın rahmetine kavuşmak,hakkın rahmetine kavuştu,death,Lâkin kovan gün yüzüne çıkamadan Şerif bey de Hakkın rahmetine kavuştu  .,lâkin kovan gün yüzünekamadanerif bey de hakkın rahmetine kavuştu,66,9,Lâkin kovan gün yüzüne çıkamadan Şerif bey de [PET_BOUNDARY]Hakkın rahmetine kavuştu[PET_BOUNDARY] .,1
384,hakkın rahmetine kavuşmak,hakkın rahmetine kavuşan,death,Gün geçmiyor ki hakkın rahmetine kavuşan birkaç  kişinin haberi gelmesin .,gün geçmiyor ki hakkın rahmetine kavuşan birkaç  kişinin haberi gelmesin,72,10,Gün geçmiyor ki [PET_BOUNDARY]hakkın rahmetine kavuşan[PET_BOUNDARY] birkaç  kişinin haberi gelmesin.,1
385,hakkın rahmetine kavuşmak,hakkın rahmetine kavuşmuş,death,çoğu  hakkın rahmetine kavuşmuş gibi anlatılıyor ama öyle değil .,çoğu  hakkın rahmetine kavuşmuş gibi anlatılıyor amayle değil,61,8,çoğu  [PET_BOUNDARY]hakkın rahmetine kavuşmuş[PET_BOUNDARY] gibi anlatılıyor ama öyle değil.,1
386,hakkın rahmetine kavuşmak,hakkın rahmetine kavuşmuş,death,"""En acıklı bölümünde Candy'nin sevgilisi Anthony attan düşüp  beyin üzeri çakılarak Hakkın rahmetine kavuşmuş , Candycik eentınii , eentiiniii diye  ağlamaktan helak olmuştu .""","""en acıklı bölümünde candy'nin sevgilisi anthony attan düşüp  beyinzeriakılarak hakkın rahmetine kavuşmuş candycik eentınii eentiiniii diye  ağlamaktan helak olmuştu",165,19,"""En acıklı bölümünde Candy'nin sevgilisi Anthony attan düşüp  beyin üzeri çakılarak [PET_BOUNDARY]Hakkın rahmetine kavuşmuş[PET_BOUNDARY], Candycik eentınii, eentiiniii diye  ağlamaktan helak olmuştu.""",1
387,hakkın rahmetine kavuşmak,hakkın rahmetine kavuşur,death,Âcil hastanın  durumu vahamet kazanır ve sonunda da hakkın rahmetine kavuşur .,âcil hastanın  durumu vahamet kazanır ve sonunda da hakkın rahmetine kavuşur,76,11,Âcil hastanın  durumu vahamet kazanır ve sonunda da [PET_BOUNDARY]hakkın rahmetine kavuşur[PET_BOUNDARY].,1
388,hakkın rahmetine kavuşmak,hakkın rahmetine kavuşmuş,death,Hatta bir çok insanımız böyle bir zevkten bile  nasibini alamıyor ; çünkü çoktan hakkın rahmetine kavuşmuş oluyorlar .,hatta birok insanımız böyle bir zevkten bile  nasibini alamıyornküoktan hakkın rahmetine kavuşmuş oluyorlar,107,13,Hatta bir çok insanımız böyle bir zevkten bile  nasibini alamıyor; çünkü çoktan [PET_BOUNDARY]hakkın rahmetine kavuşmuş[PET_BOUNDARY] oluyorlar.,1
389,hakkın rahmetine kavuşmak,hakkın rahmetine kavuşan,death,"""Adamın serveti  trilyonları bulurken , bilmem ne yoluna niyazi vaziyetlerinde hakkın rahmetine kavuşan 100  küsur Amerikan askerinin cesetlerinin ve târ ü mâr olan Iraklı anaların ve  çocukların kopan kol ve bacaklarının üzerinden maaş zammı almak da neyin nesi  ?""","""adamın serveti  trilyonları bulurken bilmem ne yoluna niyazi vaziyetlerinde hakkın rahmetine kavuşan   küsur amerikan askerinin cesetlerinin ve târ mâr olan iraklı anaların ve ocukların kopan kol ve bacaklarınınzerinden maaş zammı almak da neyin nesi ",252,34,"""Adamın serveti  trilyonları bulurken, bilmem ne yoluna niyazi vaziyetlerinde [PET_BOUNDARY]hakkın rahmetine kavuşan[PET_BOUNDARY] 100  küsur Amerikan askerinin cesetlerinin ve târ ü mâr olan Iraklı anaların ve  çocukların kopan kol ve bacaklarının üzerinden maaş zammı almak da neyin nesi ?""",1
390,hakkın rahmetine kavuşmak,hakkın rahmetine kavuşmuş,death,Birgün bisikletiyle köye gelirken de  trafik kazasında hakkın rahmetine kavuşmuş .,birgün bisikletiyle köye gelirken de  trafik kazasında hakkın rahmetine kavuşmuş,80,10,Birgün bisikletiyle köye gelirken de  trafik kazasında [PET_BOUNDARY]hakkın rahmetine kavuşmuş[PET_BOUNDARY].,1
391,hakkın rahmetine kavuşmak,hakkın rahmetine kavuşan,death,"""Uzun süredir tedavi görmekte olduğu amansız hastalıktan kurtulamayarak hakkın rahmetine kavuşan merhuma  Allah ( CC ) tan rahmet , yakın akraba ve doslarınabaş sağlığı  dileriz .""","""uzun süredir tedavi görmekte olduğu amansız hastalıktan kurtulamayarak hakkın rahmetine kavuşan merhuma  allah cc tan rahmet yakın akraba ve doslarınabaş sağlığı  dileriz",171,22,"""Uzun süredir tedavi görmekte olduğu amansız hastalıktan kurtulamayarak [PET_BOUNDARY]hakkın rahmetine kavuşan[PET_BOUNDARY] merhuma  Allah (CC) tan rahmet, yakın akraba ve doslarınabaş sağlığı  dileriz.""",1
392,hakkın rahmetine kavuşmak,hakkın rahmetine kavuşmuştur,death,"""Not : Taziye için  oğlu Mehmet Hilmi Akyüz , Ev : ( 364 ) 227 21  85 İş : ( 364 ) 224 32 45 Cep : 0  532 614 7891 e - mail : mhacorum@hotmail.com Mahmut Özdoğan : Kuduzlar  köyünden Omer Özdoğan ile SalihaÖzdoğan'ın oğlu Mahmut Özdoğan 11 Nisan 2004 tarihinde  hakkın rahmetine kavuşmuştur Allah ( CC ) rahmet eylesin hem merhum hemde  kardeşleri Çorum'da herkesin yardımına koşan , bol bol hayırlarda bulunan iyilik sever  insanlardır .""","""not taziye için  oğlu mehmet hilmi akyüz ev      i̇ş     cep      e mail mhacorum@hotmail.com mahmutzdoğan kuduzlar  köyünden omerzdoğan ile salihaözdoğan'ın oğlu mahmutzdoğan  nisan  tarihinde  hakkın rahmetine kavuşmuştur allah cc rahmet eylesin hem merhum hemde  kardeşleriorum'da herkesin yardımına koşan bol bol hayırlarda bulunan iyilik sever  insanlardır",362,44,"""Not: Taziye için  oğlu Mehmet Hilmi Akyüz, Ev: (364) 227 21  85 İş: (364) 224 32 45 Cep: 0  532 614 7891 e - mail: mhacorum@hotmail.com Mahmut Özdoğan: Kuduzlar  köyünden Omer Özdoğan ile SalihaÖzdoğan'ın oğlu Mahmut Özdoğan 11 Nisan 2004 tarihinde  [PET_BOUNDARY]hakkın rahmetine kavuşmuştur[PET_BOUNDARY] Allah (CC) rahmet eylesin hem merhum hemde  kardeşleri Çorum'da herkesin yardımına koşan, bol bol hayırlarda bulunan iyilik sever  insanlardır.""",1
393,hakkın rahmetine kavuşmak,hakkın rahmetine kavuştu,death,"""Gerçi Al Capone 1947'de  hakkın rahmetine kavuştu ama ne tanrı'nın , ne de Amerikan gangsterlerinin çalışma  tarzı açısından pek bir şey değişmiş değil ; misal , Amerikalıların canı  daha fazla petrol istediğinde herhangi bir ülkeyi talan edebiliyorlar .""","""gerçi al caponede  hakkın rahmetine kavuştu ama ne tanrı'nın ne de amerikan gangsterlerininalışma  tarzı açısından pek birey değişmiş değil misal amerikalıların canı  daha fazla petrol istediğinde herhangi birlkeyi talan edebiliyorlar",235,30,"""Gerçi Al Capone 1947'de  [PET_BOUNDARY]hakkın rahmetine kavuştu[PET_BOUNDARY] ama ne tanrı'nın, ne de Amerikan gangsterlerinin çalışma  tarzı açısından pek bir şey değişmiş değil; misal, Amerikalıların canı  daha fazla petrol istediğinde herhangi bir ülkeyi talan edebiliyorlar.""",1
394,hakkın rahmetine kavuşmak,hakkın rahmetine kavuşmuştur,death,"Diriliş Ertuğrul' dizisinde rol alan Nurettin Sönmez, aldığı acı haberle sarsıldı. Başarılı oyuncunun babası Ümit Sönmez hayatını kaybetti. Aynı dizide 'Abdurrahman Alp' rolünü canlandıran Celal Al, vefat haberini Twitter hesabından duyurdu. Nurettin Sönmez ağabeyimizin Babaları Ümit Sönmez(Merhum) amcamız hakkın rahmetine kavuşmuştur. Duâ ve niyâzlarınızda amcamızıda anarmısınız pic.twitter.com/UytouF3UQ5 — CELAL AL ???? (@celalalnebioglu) 25 Ocak 2017","diriliş ertuğrul' dizisinde rol alan nurettin sönmez, aldığı acı haberle sarsıldı. başarılı oyuncunun babası ümit sönmez hayatını kaybetti. aynı dizide 'abdurrahman alp' rolünü canlandıran celal al, vefat haberini twitter hesabından duyurdu. nurettin sönmez ağabeyimizin babaları ümit sönmez(merhum) amcamız hakkın rahmetine kavuşmuştur. duâ ve niyâzlarınızda amcamızıda anarmısınız pic.twitter.com/uytouf3uq5 — celal al ???? (@celalalnebioglu) 25 ocak 2017",458,55,"Diriliş Ertuğrul' dizisinde rol alan Nurettin Sönmez, aldığı acı haberle sarsıldı. Başarılı oyuncunun babası Ümit Sönmez hayatını kaybetti. Aynı dizide 'Abdurrahman Alp' rolünü canlandıran Celal Al, vefat haberini Twitter hesabından duyurdu. Nurettin Sönmez ağabeyimizin Babaları Ümit Sönmez(Merhum) amcamız [PET_BOUNDARY]hakkın rahmetine kavuşmuştur[PET_BOUNDARY]. Duâ ve niyâzlarınızda amcamızıda anarmısınız pic.twitter.com / UytouF3UQ5 — CELAL AL ???? (@celalalnebioglu) 25 Ocak 2017",1
395,hakkın rahmetine kavuşmak,hakkın rahmetine kavuşmuştur,death,"Berk Oktay, Twitter hesabı üzerinden şu açıklamayı yaptı: ""Büyükbabam hakkın rahmetine kavuşmuştur. Ankara'da  yapılan Askeri törenle ikindi namazının ardından Karşıyaka'da  toprağa verilen dedesinin cenazesinde sevenleri ve dostları yalnız bırakmadı. Ünlü oyuncu Twitter'dan herkese teşekkür etti.","berk oktay, twitter hesabı üzerinden şu açıklamayı yaptı: ""büyükbabam hakkın rahmetine kavuşmuştur. ankara'da  yapılan askeri törenle ikindi namazının ardından karşıyaka'da  toprağa verilen dedesinin cenazesinde sevenleri ve dostları yalnız bırakmadı. ünlü oyuncu twitter'dan herkese teşekkür etti.",298,35,"Berk Oktay, Twitter hesabı üzerinden şu açıklamayı yaptı: ""Büyükbabam [PET_BOUNDARY]hakkın rahmetine kavuşmuştur[PET_BOUNDARY]. Ankara'da  yapılan Askeri törenle ikindi namazının ardından Karşıyaka'da  toprağa verilen dedesinin cenazesinde sevenleri ve dostları yalnız bırakmadı. Ünlü oyuncu Twitter'dan herkese teşekkür etti.",1
396,hakkın rahmetine kavuşmak,hakkın rahmetine kavuştu,death,"IHA Pasinler Belediyesi eski Başkanlarından Selami Teymur hakkın rahmetine kavuştu. Bir süredir rahatsızlığı nedeniyle tedavi gören Başkan Teymur’un cenazesi bugün öğle namazına müteakip Erzurum Narmanlı Caminde kılınacak cenaze namazının ardından Erzurum’da toprağa verilecek. Etiketler: bugün , Erzurum , Erzurum Haberleri « önceki haber sonraki haber »","iha pasinler belediyesi eski başkanlarından selami teymur hakkın rahmetine kavuştu. bir süredir rahatsızlığı nedeniyle tedavi gören başkan teymur’un cenazesi bugün öğle namazına müteakip erzurum narmanlı caminde kılınacak cenaze namazının ardından erzurum’da toprağa verilecek. etiketler: bugün , erzurum , erzurum haberleri « önceki haber sonraki haber »",355,46,"IHA Pasinler Belediyesi eski Başkanlarından Selami Teymur [PET_BOUNDARY]hakkın rahmetine kavuştu[PET_BOUNDARY]. Bir süredir rahatsızlığı nedeniyle tedavi gören Başkan Teymur’un cenazesi bugün öğle namazına müteakip Erzurum Narmanlı Caminde kılınacak cenaze namazının ardından Erzurum’da toprağa verilecek. Etiketler: bugün , Erzurum , Erzurum Haberleri « önceki haber sonraki haber »",1
397,hakkın rahmetine kavuşmak,hakkın rahmetine kavuştu,death,"Türk sinemasının efsane oyuncusu Münir Özkul'un sosyal medyada öldüğü haberlerinin sürekli ortaya çıkmaya başlaması, kızı Güner Özkul'u n sert tepkisine neden oldu. ZUHAL TOPAL CANLI YAYINDA 'ÖLDÜ' DEDİ, KIZI TEPKİ GÖSTERDİ Son olarak evlendirme programı sunan Zuhal Topal, ""Programın başında söylemeyi unuttum. Özür diliyorum. Biliyorsunuz Sevgili Münir Özkul'u da kaybettik. Hakkın rahmetine kavuştu. Allah rahmet eylesin. Gani gani rahmet eylesin. Nurlar içerisinde yatsın inşallah."" dedi.","türk sinemasının efsane oyuncusu münir özkul'un sosyal medyada öldüğü haberlerinin sürekli ortaya çıkmaya başlaması, kızı güner özkul'u n sert tepkisine neden oldu. zuhal topal canli yayinda 'öldü' dedi̇, kizi tepki̇ gösterdi̇ son olarak evlendirme programı sunan zuhal topal, ""programın başında söylemeyi unuttum. özür diliyorum. biliyorsunuz sevgili münir özkul'u da kaybettik. hakkın rahmetine kavuştu. allah rahmet eylesin. gani gani rahmet eylesin. nurlar içerisinde yatsın inşallah."" dedi.",495,65,"Türk sinemasının efsane oyuncusu Münir Özkul'un sosyal medyada öldüğü haberlerinin sürekli ortaya çıkmaya başlaması, kızı Güner Özkul'u n sert tepkisine neden oldu. ZUHAL TOPAL CANLI YAYINDA 'ÖLDÜ' DEDİ, KIZI TEPKİ GÖSTERDİ Son olarak evlendirme programı sunan Zuhal Topal, ""Programın başında söylemeyi unuttum. Özür diliyorum. Biliyorsunuz Sevgili Münir Özkul'u da kaybettik. [PET_BOUNDARY]Hakkın rahmetine kavuştu[PET_BOUNDARY]. Allah rahmet eylesin. Gani gani rahmet eylesin. Nurlar içerisinde yatsın inşallah."" dedi.",1
398,hakka yürümek,hakka yürüyen,death,dua bittikten sonra cemaat yakın ailesine  baş sağlığı diler ve hakka yürüyen canın hayrına uygun bir evde -  şehirlerde genelde artık buralar cemevleridir veya yöre derneklerinde - yemek verilir .,dua bittikten sonra cemaat yakın ailesine  baş sağlığı diler ve hakka yürüyen canın hayrına uygun bir evde ehirlerde genelde artık buralar cemevleridir veya yöre derneklerinde yemek verilir,189,27,dua bittikten sonra cemaat yakın ailesine  baş sağlığı diler ve [PET_BOUNDARY]hakka yürüyen[PET_BOUNDARY] canın hayrına uygun bir evde -  şehirlerde genelde artık buralar cemevleridir veya yöre derneklerinde - yemek verilir.,1
399,hakka yürümek,hakka yürüyen,death,aile cenaze işlemi tamamlandıktan sonra üçünde hakka yürüyen  canın elbiseleri yıkanır .,aile cenaze işlemi tamamlandıktan sonrande hakka yürüyen  canın elbiseleri yıkanır,82,10,aile cenaze işlemi tamamlandıktan sonra üçünde [PET_BOUNDARY]hakka yürüyen[PET_BOUNDARY]  canın elbiseleri yıkanır.,1
400,hakka yürümek,hakka yürümesinden,death,"""Safevi devleti Alevi inancının  resmi olarak tanındığı , gelişmesinin desteklendiği , hatta örgütlendirildiği bir devlettir ,  önemi de buradadır Şah İsmail’in Hakka yürümesinden ( 1504 ) sonra yerine  oğlu 1.Tahmasp geçti .""","""safevi devleti alevi inancının  resmi olarak tanındığı gelişmesinin desteklendiği hattargütlendirildiği bir devlettir nemi de buradadırah i̇smail’in hakka yürümesinden  sonra yerine  oğlutahmasp geçti",201,22,"""Safevi devleti Alevi inancının  resmi olarak tanındığı, gelişmesinin desteklendiği, hatta örgütlendirildiği bir devlettir,  önemi de buradadır Şah İsmail’in [PET_BOUNDARY]Hakka yürümesinden[PET_BOUNDARY] (1504) sonra yerine  oğlu 1.Tahmasp geçti.""",1
401,hakka yürümek,hakka yürüdü,death,Su kaplumbağalarımız  hakka yürüdü .,su kaplumbağalarımız  hakka yürüdü,34,4,Su kaplumbağalarımız  [PET_BOUNDARY]hakka yürüdü[PET_BOUNDARY].,1
402,hakka yürümek,hakka yürüdü,death,YILDIRIM  GÜRSES HAKKA YÜRÜDÜ - 18 - KASIM - 2000 Sanat dünyasından bir  yıldız daha kaydı .,yildirim  gürses hakka yürüdü  kasim  sanat dünyasından bir  yıldız daha kaydı,78,11,YILDIRIM  GÜRSES [PET_BOUNDARY]HAKKA YÜRÜDÜ[PET_BOUNDARY] - 18 - KASIM - 2000 Sanat dünyasından bir  yıldız daha kaydı.,1
403,hakka yürümek,hakka yürümesinden,death,"""Kitabın üçüncü  baskısı , yazarının hakka yürümesinden ( 06.01.1995 ) sonra , 1997 yılında  yapılmıştır .""","""kitabınncü  baskısı yazarının hakka yürümesinden sonra  yılında  yapılmıştır",77,8,"""Kitabın üçüncü  baskısı, yazarının [PET_BOUNDARY]hakka yürümesinden[PET_BOUNDARY] (06.01.1995) sonra, 1997 yılında  yapılmıştır.""",1
404,hakka yürümek,hakka yürümüştür,death,1955  yılında kurularak neşriyâta başlayan Tercüman Gazetesi’nin ilk Yazı İşleri Müdürü olan Tevfik  Beğ Hakka yürümüştür .,yılında kurularak neşriyâta başlayan tercüman gazetesi’nin ilk yazı i̇şleri müdürü olan tevfik  beğ hakka yürümüştür,118,15,1955  yılında kurularak neşriyâta başlayan Tercüman Gazetesi’nin ilk Yazı İşleri Müdürü olan Tevfik  Beğ [PET_BOUNDARY]Hakka yürümüştür[PET_BOUNDARY].,1
405,hamileliği sonlandırmak,hamileliğin sonlandırılması,death,"""Böylece hem gerekli olabilecek müdahale için geç kalınmamış olacak ,  hem de eğer kalple ilgili anomali onarılamayacak kadar ağırsa hamileliğin sonlandırılması sözkonusu  olabilecektir .""","""böylece hem gerekli olabilecek müdahale için geç kalınmamış olacak  hem de eğer kalple ilgili anomali onarılamayacak kadar ağırsa hamileliğin sonlandırılması sözkonusu  olabilecektir",183,22,"""Böylece hem gerekli olabilecek müdahale için geç kalınmamış olacak,  hem de eğer kalple ilgili anomali onarılamayacak kadar ağırsa [PET_BOUNDARY]hamileliğin sonlandırılması[PET_BOUNDARY] sözkonusu  olabilecektir.""",0
406,hamileliği sonlandırmak,hamileligini sonlandırmaya,death,ALLAH aşkına kaçımız sadece eşini aynı karede başka bir kadınla gördü diye  gidip hamileligini sonlandırmaya karar verdi .,allah aşkına kaçımız sadece eşini aynı karede başka bir kadınla gördü diye  gidip hamileligini sonlandırmaya karar verdi,120,17,ALLAH aşkına kaçımız sadece eşini aynı karede başka bir kadınla gördü diye  gidip [PET_BOUNDARY]hamileligini sonlandırmaya[PET_BOUNDARY] karar verdi.,1
407,hamileliği sonlandırmak,hamileliğini sonlandırmaya,death,18 yaşında ama yanına  bir yakını bile almadan hamileliğini sonlandırmaya gidecek kadar cesur .,yaşında ama yanına  bir yakını bile almadan hamileliğini sonlandırmaya gidecek kadar cesur,91,12,18 yaşında ama yanına  bir yakını bile almadan [PET_BOUNDARY]hamileliğini sonlandırmaya[PET_BOUNDARY] gidecek kadar cesur.,1
